,Group,Played Before,Explanation Reason,Explanation Counterfactual,Question Context,Question Text,Answer 1,Answer 2,Answer 3,True Action,True Target,Explanation Variable,Explanation Target,Answer Action 1,Answer Action 2,Answer Action 3,Answer Target 1,Answer Target 2,Answer Target 3,Correct Answer,User Answer,User Correct
0,1,False,He intentat que algú em parlés perquè la Persona C no estava gens interessada en mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més, i em mirés directament.",Què creus que faria si en Bob no estigués gens interessada en mi?,Intentaré parlar amb la Persona B,Intentaré parlar amb la Persona A,Intentaré que algú em parli,ELICIT_GENERAL,None,Engagement Value,anmux,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,gnnbq,ykdjp,None,3,1,False
1,2,False,He intentat parlar amb la Persona A perquè estava segura de la meva detecció de l'esquelet de la Persona A.,"Si estigués molt insegura de la meva detecció de l'esquelet de Persona A, hauria intentat que algú em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més, i em mirés directament.",Què creus que faria si estigués molt insegura de la meva detecció de l'esquelet de en Bob?,Intentaré parlar amb en Bob,Intentaré que algú em parli,Intentaré parlar amb la Persona A,ELICIT_TARGET,nubxf,Pose Estimation Confidence,nubxf,ELICIT_TARGET,ELICIT_GENERAL,ELICIT_TARGET,NEWPERSON,None,nubxf,3,3,True
2,0,False,He intentat que algú em parlés.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més, i em mirés directament.",Què creus que faria si en Bob estigués molt interessada en mi?,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,Intentaré que algú em parli,ELICIT_GENERAL,None,Engagement Value,zdrza,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,zdrza,NEWPERSON,None,2,2,True
3,1,True,He intentat parlar amb la Persona A perquè la Persona A estava a menys de 5m de mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que em mirés directament.","Què creus que faria si en Bob estigués a uns 6m de mi, i més lluny que ningú més?",Intentaré parlar amb en Bob,Intentaré que algú em parli,Intentaré parlar amb la Persona A,ELICIT_TARGET,mfzmj,Distance,mfzmj,ELICIT_TARGET,ELICIT_GENERAL,ELICIT_TARGET,NEWPERSON,None,mfzmj,3,3,True
4,0,False,He intentat parlar amb la Persona B.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més, i em mirés directament.",Què creus que faria si no estigués segura de la meva detecció de l'esquelet de en Bob?,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona B,ELICIT_TARGET,vjehs,Pose Estimation Confidence,awnig,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,bkfok,NEWPERSON,vjehs,3,3,True
5,1,False,He intentat parlar amb la Persona B perquè la Persona C mirava lluny de mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més.",Què creus que faria si en Bob no em mirés?,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona B,Intentaré parlar amb la Persona C,ELICIT_TARGET,wyjec,Mutual Gaze,rsaev,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,NEWPERSON,wyjec,rsaev,2,2,True
6,2,True,He intentat parlar amb la Persona A perquè la Persona A estava a uns 2.0m de mi.,"Si Persona A estigués a més de 1.5m de mi, hauria intentat que algú em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que em mirés directament.","Què creus que faria si en Bob estigués a uns 3m de mi, i més lluny que ningú més?",Intentaré parlar amb en Bob,Intentaré que algú em parli,Intentaré parlar amb la Persona A,ELICIT_TARGET,cazca,Distance,cazca,ELICIT_TARGET,ELICIT_GENERAL,ELICIT_TARGET,NEWPERSON,None,cazca,1,2,False
7,2,False,He intentat que algú em parlés perquè estava molt insegura de la meva detecció de l'esquelet de la Persona A.,"Si estigués segura de la meva detecció de l'esquelet de Persona A, hauria intentat que la Persona A em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi i em mirés directament.",Què creus que faria si estigués molt segura de la meva detecció de l'esquelet de en Bob?,Intentaré que algú em parli,Intentaré parlar amb la Persona B,Intentaré parlar amb en Bob,ELICIT_GENERAL,None,Pose Estimation Confidence,novvx,ELICIT_GENERAL,ELICIT_TARGET,ELICIT_TARGET,None,ebhlw,NEWPERSON,3,3,True
8,0,True,He intentat parlar amb la Persona B.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més.",Què creus que faria si en Bob em mirés una mica?,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona B,Intentaré que algú em parli,ELICIT_TARGET,ouhew,Mutual Gaze,ouhew,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,NEWPERSON,ouhew,None,1,1,True
9,1,False,He intentat parlar amb la Persona A perquè la Persona A estava a menys de 2.5m de mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que em mirés directament.","Què creus que faria si en Bob estigués a uns 9m de mi, i més lluny que ningú més?",Intentaré parlar amb en Bob,Intentaré parlar amb la Persona D,Intentaré parlar amb la Persona A,ELICIT_TARGET,tkvxg,Distance,tkvxg,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,NEWPERSON,hktjw,tkvxg,3,3,True
10,2,False,He intentat que algú em parlés perquè la Persona C estava a més de 1m de mi.,"Si Persona C estigués a menys de 1m de mi, hauria intentat que la Persona C em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que em mirés directament.","Què creus que faria si en Bob estigués a uns 1.5m de mi, i més aprop que ningú més?",Intentaré que algú em parli,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona C,ELICIT_GENERAL,None,Distance,zlwwg,ELICIT_GENERAL,ELICIT_TARGET,ELICIT_TARGET,None,NEWPERSON,zlwwg,2,2,True
11,2,False,He intentat que algú em parlés perquè la Persona A no estava gens interessada en mi.,"Si Persona A estigués una mica interessada en mi, hauria intentat que la Persona A em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més, i em mirés directament.",Què creus que faria si en Bob no estigués interessada en mi?,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,Intentaré que algú em parli,ELICIT_GENERAL,None,Engagement Value,geopq,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,geopq,NEWPERSON,None,2,1,False
12,0,False,He intentat parlar amb la Persona C.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més, i em mirés directament.",Què creus que faria si estigués molt insegura de la meva detecció de l'esquelet de en Bob?,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona A,Intentaré parlar amb la Persona C,ELICIT_TARGET,owzoo,Pose Estimation Confidence,xjozp,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,NEWPERSON,xjozp,owzoo,3,3,True
13,0,False,He intentat que algú em parlés.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més, i em mirés directament.",Què creus que faria si en Bob estigués molt interessada en mi?,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona C,ELICIT_GENERAL,None,Engagement Value,ewnnc,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,kwouu,NEWPERSON,ewnnc,2,2,True
14,1,False,He intentat que algú em parlés perquè la Persona A no estava gens interessada en mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més, i em mirés directament.",Què creus que faria si en Bob no estigués gens interessada en mi?,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,Intentaré que algú em parli,ELICIT_GENERAL,None,Engagement Value,owdng,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,owdng,NEWPERSON,None,3,4,False
15,2,False,He intentat parlar amb la Persona A perquè estava segura de la meva detecció de l'esquelet de la Persona A.,"Si estigués molt insegura de la meva detecció de l'esquelet de Persona A, hauria intentat que algú em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més, i em mirés directament.",Què creus que faria si estigués molt segura de la meva detecció de l'esquelet de en Bob?,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona A,Intentaré que algú em parli,ELICIT_TARGET,athjv,Pose Estimation Confidence,athjv,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,NEWPERSON,athjv,None,1,4,False
16,2,True,He intentat parlar amb la Persona A perquè la Persona A estava a menys de 5m de mi.,"Si Persona A estigués a més de 5m de mi, hauria intentat que algú em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que em mirés directament.","Què creus que faria si en Bob estigués a uns 2m de mi, i més lluny que ningú més?",Intentaré parlar amb la Persona A,Intentaré que algú em parli,Intentaré parlar amb en Bob,ELICIT_TARGET,tfiao,Distance,tfiao,ELICIT_TARGET,ELICIT_GENERAL,ELICIT_TARGET,tfiao,None,NEWPERSON,3,4,False
17,0,False,He intentat parlar amb la Persona A.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi i em mirés directament.",Què creus que faria si no estigués segura de la meva detecció de l'esquelet de en Bob?,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona A,Intentaré parlar amb la Persona B,ELICIT_TARGET,rmmdq,Pose Estimation Confidence,rmmdq,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,NEWPERSON,rmmdq,dnora,1,2,False
18,1,False,He intentat parlar amb la Persona A perquè la Persona A estava a menys de 5m de mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que em mirés directament.","Què creus que faria si en Bob estigués a uns 0.1m de mi, i més aprop que ningú més?",Intentaré parlar amb la Persona G,Intentaré parlar amb en Bob,Intentaré que algú em parli,ELICIT_TARGET,vphyz,Distance,vphyz,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,pmtde,NEWPERSON,None,2,2,True
