,Time,Group,Played Before,Explanation Reason,Explanation Counterfactual,Question Context,Question Text,Answer 1,Answer 2,Answer 3,True Action,True Target,Explanation Variable,Explanation Target,Answer Action 1,Answer Action 2,Answer Action 3,Answer Target 1,Answer Target 2,Answer Target 3,Correct Answer,User Answer,User Correct,Adjusted Answer,Number of People,Bag
0,1709631745730170250,0,False,He intentat parlar amb la Persona A.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més, i em mirés directament.",Què creus que faria si en Bob no estigués interessada en mi?,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,Intentaré que algú em parli,ELICIT_TARGET,ttelm,Engagement Value,ttelm,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,ttelm,NEWPERSON,None,1,2,False,0.0,1,tuesday_0_13.bag
1,1709724796632429123,0,True,He intentat parlar amb la Persona B.,,"Imagina't que hi hagués una persona addicional, en Bob, que em mirés directament.","Què creus que faria si en Bob estigués a un 1m de mi, i més aprop que ningú més?",Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,Intentaré que algú em parli,ELICIT_TARGET,epqko,Distance,epqko,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,vbcan,NEWPERSON,None,2,3,False,0.5,2,wednesday_0_45.bag
2,1709724931024626970,1,True,He intentat parlar amb la Persona A perquè estava segura de la meva detecció de l'esquelet de la Persona A.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi i em mirés directament.",Què creus que faria si estigués molt insegura de la meva detecció de l'esquelet de en Bob?,Intentaré parlar amb la Persona A,Intentaré que algú em parli,Intentaré parlar amb en Bob,ELICIT_TARGET,tjuuu,Pose Estimation Confidence,tjuuu,ELICIT_TARGET,ELICIT_GENERAL,ELICIT_TARGET,tjuuu,None,NEWPERSON,1,2,False,0.5,1,wednesday_0_45.bag
3,1709739774685647964,1,False,He intentat que algú em parlés perquè la Persona A no estava gens interessada en mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més, i em mirés directament.",Què creus que faria si en Bob no estigués gens interessada en mi?,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona A,Intentaré que algú em parli,ELICIT_GENERAL,None,Engagement Value,ngeeq,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,NEWPERSON,ngeeq,None,3,3,True,1.0,1,wednesday_0_95.bag
4,1709638133556263924,2,False,He intentat que algú em parlés perquè la Persona A no em mirava.,"Si Persona A em mirés, hauria intentat que la Persona A em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi.",Què creus que faria si en Bob mirés lluny de mi?,Intentaré parlar amb la Persona A,Intentaré que algú em parli,Intentaré parlar amb en Bob,ELICIT_GENERAL,None,Mutual Gaze,lwqdt,ELICIT_TARGET,ELICIT_GENERAL,ELICIT_TARGET,lwqdt,None,NEWPERSON,2,1,False,0.0,1,tuesday_0_34.bag
5,1709548327079007864,1,False,He intentat que algú em parlés perquè la Persona C no estava gens interessada en mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més, i em mirés directament.",Què creus que faria si en Bob no estigués gens interessada en mi?,Intentaré parlar amb la Persona B,Intentaré parlar amb la Persona A,Intentaré que algú em parli,ELICIT_GENERAL,None,Engagement Value,anmux,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,gnnbq,ykdjp,None,3,1,False,0.0,3,monday_0_11.bag
6,1709811029523572922,0,True,He intentat que algú em parlés.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més, i em mirés directament.",Què creus que faria si en Bob estigués molt interessada en mi?,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona A,Intentaré parlar amb la Persona C,ELICIT_GENERAL,None,Engagement Value,esqjy,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,NEWPERSON,rdxpj,esqjy,1,1,True,1.0,3,thursday_0_36.bag
7,1709652917571545601,0,False,He intentat que algú em parlés.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més.",Què creus que faria si en Bob i jo ens miréssim directament?,Intentaré que algú em parli,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona A,ELICIT_GENERAL,None,Mutual Gaze,ahfly,ELICIT_GENERAL,ELICIT_TARGET,ELICIT_TARGET,None,NEWPERSON,ahfly,2,4,False,0.0,1,tuesday_0_84.bag
8,1709638795730435133,0,False,He intentat parlar amb la Persona A.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més, i em mirés directament.",Què creus que faria si estigués molt segura de la meva detecció de l'esquelet de en Bob?,Intentaré que algú em parli,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,ELICIT_TARGET,jmlit,Pose Estimation Confidence,jmlit,ELICIT_GENERAL,ELICIT_TARGET,ELICIT_TARGET,None,jmlit,NEWPERSON,3,2,False,0.0,1,tuesday_0_37.bag
9,1709638897163093805,1,False,He intentat que algú em parlés perquè la Persona A estava a més de 1m de mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que em mirés directament.","Què creus que faria si en Bob estigués a uns 4m de mi, i més lluny que ningú més?",Intentaré que algú em parli,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona A,ELICIT_GENERAL,None,Distance,yrbdi,ELICIT_GENERAL,ELICIT_TARGET,ELICIT_TARGET,None,NEWPERSON,yrbdi,2,3,False,0.0,1,tuesday_0_37.bag
